"Global Mean Sea Level from 1993-2016 as recorded by the altimeters onboard the TOPEX and Jason series of satellites. Seasonal variations have been subtracted to isolate global mean sea level rate. Estimates are revised every two months with new data, models and corrections."

year      msl_ib_ns(mm) #version_2016_rel4
1992.9595   -5.680
1992.9866   -7.386
1993.0138   -9.084
1993.0409  -11.682
1993.0681  -11.202
1993.0952   -9.511
1993.1223   -3.693
1993.1495   -2.490
1993.1766   -6.841
1993.2038   -5.863
1993.2309   -2.973
1993.2852   -2.097
1993.3124   -0.450
1993.3395   -5.445
1993.3667   -7.452
1993.3938   -6.461
1993.4210   -1.712
1993.4481    0.349
1993.4753   -1.545
1993.5024   -4.184
1993.5296   -4.857
1993.5839   -2.562
1993.6110   -2.427
1993.6382   -2.318
1993.6653   -6.249
1993.6925   -7.340
1993.7196   -6.341
1993.7468   -0.747
1993.7739    1.837
1993.8010   -1.841
1993.8553   -7.105
1993.8825   -4.487
1993.9096   -2.530
1993.9368   -0.663
1993.9639    1.600
1993.9911   -3.721
1994.0182   -5.775
1994.0454   -1.151
1994.0725    2.489
1994.0997   -1.122
1994.1268   -6.492
1994.1540  -10.663
1994.1811   -2.607
1994.2354    1.574
1994.2626    0.680
1994.2897   -1.197
1994.3169   -5.718
1994.3440   -4.524
1994.3712   -1.665
1994.3983   -3.665
1994.4255   -2.234
1994.4526   -3.345
1994.5069   -6.121
1994.5340   -1.285
1994.5612    0.395
1994.5883   -1.507
1994.6155   -7.646
1994.6426   -8.027
1994.6698   -8.166
1994.6969   -0.306
1994.7241   -0.746
1994.7512   -4.544
1994.7784   -5.248
1994.8055   -4.399
1994.8327   -5.548
1994.8870   -3.136
1994.9141  -10.108
1994.9413   -7.795
1994.9684   -4.993
1994.9956   -0.075
1995.0227    2.584
1995.0499    2.472
1995.0770    3.886
1995.1042   -3.333
1995.1313   -8.835
1995.1585   -1.405
1995.2128    5.265
1995.2399   -2.884
1995.2670   -4.476
1995.2942   -6.041
1995.3213   -1.321
1995.3756   -1.673
1995.4028   -1.043
1995.4299   -1.642
1995.4571   -3.863
1995.4842   -2.274
1995.5385   -0.312
1995.5657   -2.827
