-------------------------------------------------------------------------------------------									
 Atmospheric CO2 concentrations (ppm) derived from in situ air measurements                									
" at Mauna Loa, Observatory, Hawaii: Latitude 19.5å¡N Longitude 155.6å¡W Elevation 3397m      "									
                                                                                           									
" Source: R. F. Keeling, S. C. Piper, A. F. Bollenbacher and S. J. Walker                   "									
 Scripps CO2 Program ( http://scrippsco2.ucsd.edu )                                        									
 Scripps Institution of Oceanography (SIO)                                                 									
 University of California                                                                  									
" La Jolla, California USA 92093-0244                                                       "									
                                                                                           									
 Status of data and correspondence:                                                        									
                                                                                           									
 These data are subject to revision based on recalibration of standard gases. Questions    									
 about the data should be directed to Dr. Ralph Keeling (rkeeling@ucsd.edu) and            									
" and Dr. Stephen Piper (scpiper@popmail.ucsd.edu), Scripps CO2 Program.                    "									
                                                                                           									
 Baseline data in this file through 28-Feb-2011 from archive dated 02-Mar-2011 16:05:31    									
                                                                                           									
-------------------------------------------------------------------------------------------									
                                                                                           									
 Please cite as:                                                                           									
                                                                                           									
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "									
" H. A. Meijer, Exchanges of atmospheric CO2 and 13CO2 with the terrestrial biosphere and   "									
" oceans from 1978 to 2000.  I. Global aspects, SIO Reference Series, No. 01-06, Scripps    "									
" Institution of Oceanography, San Diego, 88 pages, 2001.                                   "									
                                                                                           									
" If it is necessary to cite a peer-reviewed article, please cite as:                       "									
                                                                                           									
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "									
" H. A. Meijer, Atmospheric CO2 and 13CO2 exchange with the terrestrial biosphere and       "									
" oceans from 1978 to 2000: observations and carbon cycle implications, pages 83-113,       "									
 in A History of Atmospheric CO2 and its effects on Plants	 Animals	" and Ecosystems"""	"     """						
" editors, Ehleringer, J.R., T. E. Cerling, M. D. Dearing, Springer Verlag,                 "									
" New York, 2005.                                                                           "									
                                                                                           									
-------------------------------------------------------------------------------------------									
                                                                                           									
 The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant 									
 formats. Column 5 below gives monthly Mauna Loa CO2 concentrations in micro-mol CO2 per   									
" mole (ppm), reported on the 2008A SIO manometric mole fraction scale.  This is the        "									
 standard version of the data most often sought.  The monthly values have been adjusted    									
 to 24:00 hours on the 15th of each month.  Column 6 gives the same data after a seasonal  									
 adjustment to remove the quasi-regular seasonal cycle.  The adjustment involves           									
 subtracting from the data a 4-harmonic fit with a linear gain factor.  Column 7 is a      									
 smoothed version of the data generated from a stiff cubic spline function plus 4-harmonic 									
 functions with linear gain.  Column 8 is the same smoothed version with the seasonal      									
 cycle removed.  Column 9 is identical to Column 5 except that the missing values from     									
 Column 5 have been filled with values from Column 7.  Column 10 is identical to Column 6  									
 except missing values have been filled with values from Column 8.  Missing values are     									
 denoted by -99.99                                                                         									
                                                                                           									
 CO2 concentrations are measured on the '08A' calibration scale                            									
                                                                                           									
  Yr	 Mn	    Date	      Date	     CO2	seasonally	        fit	  seasonally	      CO2	 seasonally
    	   	        	          	        	  adjusted	           	adjusted fit	   filled	adjusted filled
    	   	   Excel	          	   [ppm]	    [ppm] 	      [ppm]	    [ppm]	       [ppm]	    [ppm]
1958	1	21200	1958.0411	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
1958	2	21231	1958.126	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
1958	3	21259	1958.2027	315.71	314.42	316.18	314.89	315.71	314.42
1958	4	21290	1958.2877	317.45	315.17	317.26	314.98	317.45	315.17
1958	5	21320	1958.3699	317.5	314.75	317.81	315.06	317.5	314.75
1958	6	21351	1958.4548	-99.99	-99.99	317.25	315.14	317.25	315.14
1958	7	21381	1958.537	315.86	315.13	315.95	315.22	315.86	315.13
1958	8	21412	1958.6219	314.93	316.13	314.09	315.29	314.93	316.13
1958	9	21443	1958.7068	313.2	316.04	312.51	315.36	313.2	316.04
1958	10	21473	1958.789	-99.99	-99.99	312.43	315.41	312.43	315.41
1958	11	21504	1958.874	313.33	315.22	313.58	315.46	313.33	315.22
1958	12	21534	1958.9562	314.67	315.47	314.71	315.52	314.67	315.47
1959	1	21565	1959.0411	315.62	315.63	315.57	315.57	315.62	315.63
1959	2	21596	1959.126	316.38	315.76	316.25	315.63	316.38	315.76
1959	3	21624	1959.2027	316.71	315.42	316.98	315.69	316.71	315.42
1959	4	21655	1959.2877	317.72	315.42	318.05	315.76	317.72	315.42
1959	5	21685	1959.3699	318.29	315.53	318.6	315.84	318.29	315.53
1959	6	21716	1959.4548	318.15	316.03	318.05	315.93	318.15	316.03
1959	7	21746	1959.537	316.54	315.81	316.75	316.02	316.54	315.81
1959	8	21777	1959.6219	314.8	316	314.92	316.12	314.8	316
1959	9	21808	1959.7068	313.84	316.69	313.36	316.22	313.84	316.69
1959	10	21838	1959.789	313.26	316.25	313.32	316.31	313.26	316.25
1959	11	21869	1959.874	314.8	316.69	314.5	316.4	314.8	316.69
1959	12	21899	1959.9562	315.58	316.39	315.67	316.48	315.58	316.39
1960	1	21930	1960.041	316.43	316.43	316.56	316.56	316.43	316.43
1960	2	21961	1960.1257	316.97	316.36	317.27	316.65	316.97	316.36
1960	3	21990	1960.2049	317.58	316.26	318.04	316.72	317.58	316.26
1960	4	22021	1960.2896	319.02	316.69	319.13	316.81	319.02	316.69
1960	5	22051	1960.3716	320.03	317.25	319.65	316.88	320.03	317.25
1960	6	22082	1960.4563	319.59	317.48	319.05	316.94	319.59	317.48
1960	7	22112	1960.5383	318.18	317.47	317.69	316.98	318.18	317.47
1960	8	22143	1960.623	315.91	317.14	315.79	317.02	315.91	317.14
1960	9	22174	1960.7077	314.16	317.04	314.17	317.04	314.16	317.04
1960	10	22204	1960.7896	313.83	316.83	314.07	317.07	313.83	316.83
1960	11	22235	1960.8743	315	316.9	315.2	317.1	315	316.9
1960	12	22265	1960.9563	316.19	317	316.33	317.14	316.19	317
1961	1	22296	1961.0411	316.93	316.93	317.18	317.19	316.93	316.93
1961	2	22327	1961.126	317.7	317.08	317.87	317.25	317.7	317.08
1961	3	22355	1961.2027	318.54	317.24	318.62	317.32	318.54	317.24
1961	4	22386	1961.2877	319.48	317.17	319.71	317.4	319.48	317.17
1961	5	22416	1961.3699	320.58	317.79	320.28	317.49	320.58	317.79
1961	6	22447	1961.4548	319.77	317.64	319.72	317.59	319.77	317.64
1961	7	22477	1961.537	318.57	317.84	318.41	317.68	318.57	317.84
1961	8	22508	1961.6219	316.79	318	316.55	317.77	316.79	318
1961	9	22539	1961.7068	314.8	317.68	314.97	317.85	314.8	317.68
1961	10	22569	1961.789	315.38	318.39	314.91	317.93	315.38	318.39
1961	11	22600	1961.874	316.1	318.01	316.09	318	316.1	318.01
1961	12	22630	1961.9562	317.01	317.82	317.25	318.06	317.01	317.82
1962	1	22661	1962.0411	317.94	317.94	318.13	318.13	317.94	317.94
1962	2	22692	1962.126	318.56	317.93	318.82	318.2	318.56	317.93
1962	3	22720	1962.2027	319.68	318.37	319.56	318.26	319.68	318.37
1962	4	22751	1962.2877	320.63	318.31	320.65	318.33	320.63	318.31
1962	5	22781	1962.3699	321.01	318.22	321.19	318.39	321.01	318.22
1962	6	22812	1962.4548	320.55	318.41	320.6	318.45	320.55	318.41
1962	7	22842	1962.537	319.58	318.84	319.25	318.51	319.58	318.84
1962	8	22873	1962.6219	317.4	318.62	317.34	318.56	317.4	318.62
1962	9	22904	1962.7068	316.25	319.14	315.71	318.6	316.25	319.14
1962	10	22934	1962.789	315.42	318.45	315.62	318.64	315.42	318.45
1962	11	22965	1962.874	316.69	318.61	316.76	318.68	316.69	318.61
1962	12	22995	1962.9562	317.69	318.51	317.9	318.72	317.69	318.51
1963	1	23026	1963.0411	318.74	318.74	318.76	318.76	318.74	318.74
1963	2	23057	1963.126	319.08	318.45	319.43	318.8	319.08	318.45
1963	3	23085	1963.2027	319.86	318.55	320.16	318.85	319.86	318.55
1963	4	23116	1963.2877	321.39	319.06	321.24	318.91	321.39	319.06
1963	5	23146	1963.3699	322.25	319.44	321.77	318.96	322.25	319.44
1963	6	23177	1963.4548	321.47	319.32	321.16	319.01	321.47	319.32
1963	7	23207	1963.537	319.74	319	319.79	319.05	319.74	319
1963	8	23238	1963.6219	317.77	318.99	317.87	319.09	317.77	318.99
1963	9	23269	1963.7068	316.21	319.11	316.23	319.14	316.21	319.11
1963	10	23299	1963.789	315.99	319.02	316.14	319.18	315.99	319.02
1963	11	23330	1963.874	317.12	319.05	317.3	319.22	317.12	319.05
1963	12	23360	1963.9562	318.31	319.13	318.45	319.27	318.31	319.13
1964	1	23391	1964.041	319.57	319.57	319.32	319.32	319.57	319.57
1964	2	23422	1964.1257	-99.99	-99.99	320	319.37	320	319.37
1964	3	23451	1964.2049	-99.99	-99.99	320.75	319.41	320.75	319.41
1964	4	23482	1964.2896	-99.99	-99.99	321.82	319.46	321.82	319.46
1964	5	23512	1964.3716	322.25	319.43	322.32	319.5	322.25	319.43
1964	6	23543	1964.4563	321.89	319.75	321.68	319.54	321.89	319.75
1964	7	23573	1964.5383	320.44	319.72	320.28	319.57	320.44	319.72
1964	8	23604	1964.623	318.7	319.95	318.34	319.59	318.7	319.95
1964	9	23635	1964.7077	316.7	319.62	316.69	319.61	316.7	319.62
1964	10	23665	1964.7896	316.79	319.84	316.58	319.62	316.79	319.84
1964	11	23696	1964.8743	317.79	319.72	317.71	319.64	317.79	319.72
1964	12	23726	1964.9563	318.71	319.53	318.83	319.65	318.71	319.53
1965	1	23757	1965.0411	319.44	319.44	319.67	319.68	319.44	319.44
1965	2	23788	1965.126	320.44	319.81	320.34	319.71	320.44	319.81
1965	3	23816	1965.2027	320.89	319.57	321.07	319.75	320.89	319.57
1965	4	23847	1965.2877	322.13	319.79	322.16	319.81	322.13	319.79
1965	5	23877	1965.3699	322.16	319.33	322.72	319.89	322.16	319.33
1965	6	23908	1965.4548	321.87	319.7	322.15	319.98	321.87	319.7
1965	7	23938	1965.537	321.39	320.64	320.83	320.09	321.39	320.64
1965	8	23969	1965.6219	318.81	320.04	318.97	320.2	318.81	320.04
1965	9	24000	1965.7068	317.81	320.74	317.39	320.32	317.81	320.74
1965	10	24030	1965.789	317.3	320.36	317.37	320.43	317.3	320.36
1965	11	24061	1965.874	318.87	320.81	318.61	320.55	318.87	320.81
1965	12	24091	1965.9562	319.42	320.24	319.84	320.67	319.42	320.24
1966	1	24122	1966.0411	320.62	320.62	320.79	320.79	320.62	320.62
1966	2	24153	1966.126	321.59	320.96	321.55	320.91	321.59	320.96
1966	3	24181	1966.2027	322.39	321.06	322.35	321.02	322.39	321.06
1966	4	24212	1966.2877	323.87	321.51	323.49	321.14	323.87	321.51
1966	5	24242	1966.3699	324.01	321.17	324.08	321.24	324.01	321.17
1966	6	24273	1966.4548	323.75	321.58	323.51	321.33	323.75	321.58
1966	7	24303	1966.537	322.39	321.64	322.17	321.42	322.39	321.64
1966	8	24334	1966.6219	320.37	321.6	320.26	321.49	320.37	321.6
1966	9	24365	1966.7068	318.64	321.57	318.63	321.56	318.64	321.57
1966	10	24395	1966.789	318.1	321.17	318.55	321.63	318.1	321.17
1966	11	24426	1966.874	319.79	321.73	319.74	321.69	319.79	321.73
1966	12	24456	1966.9562	321.08	321.91	320.92	321.75	321.08	321.91
1967	1	24487	1967.0411	322.07	322.07	321.8	321.8	322.07	322.07
1967	2	24518	1967.126	322.5	321.86	322.49	321.86	322.5	321.86
1967	3	24546	1967.2027	323.04	321.71	323.23	321.9	323.04	321.71
1967	4	24577	1967.2877	324.42	322.05	324.32	321.96	324.42	322.05
1967	5	24607	1967.3699	325	322.15	324.86	322.01	325	322.15
1967	6	24638	1967.4548	324.09	321.91	324.25	322.07	324.09	321.91
1967	7	24668	1967.537	322.55	321.79	322.88	322.13	322.55	321.79
1967	8	24699	1967.6219	320.92	322.16	320.96	322.2	320.92	322.16
1967	9	24730	1967.7068	319.31	322.26	319.32	322.27	319.31	322.26
1967	10	24760	1967.789	319.31	322.39	319.26	322.34	319.31	322.39
1967	11	24791	1967.874	320.72	322.68	320.47	322.42	320.72	322.68
1967	12	24821	1967.9562	321.96	322.79	321.66	322.5	321.96	322.79
1968	1	24852	1968.041	322.57	322.57	322.57	322.57	322.57	322.57
1968	2	24883	1968.1257	323.15	322.51	323.29	322.65	323.15	322.51
1968	3	24912	1968.2049	323.89	322.53	324.09	322.73	323.89	322.53
1968	4	24943	1968.2896	325.02	322.63	325.22	322.82	325.02	322.63
1968	5	24973	1968.3716	325.57	322.71	325.78	322.92	325.57	322.71
1968	6	25004	1968.4563	325.36	323.19	325.2	323.02	325.36	323.19
1968	7	25034	1968.5383	324.14	323.41	323.86	323.13	324.14	323.41
1968	8	25065	1968.623	322.03	323.3	321.97	323.24	322.03	323.3
1968	9	25096	1968.7077	320.41	323.38	320.39	323.36	320.41	323.38
1968	10	25126	1968.7896	320.25	323.34	320.39	323.48	320.25	323.34
1968	11	25157	1968.8743	321.31	323.27	321.65	323.61	321.31	323.27
1968	12	25187	1968.9563	322.84	323.68	322.91	323.74	322.84	323.68
1969	1	25218	1969.0411	324	324	323.88	323.88	324	324
1969	2	25249	1969.126	324.42	323.78	324.67	324.03	324.42	323.78
1969	3	25277	1969.2027	325.64	324.3	325.5	324.16	325.64	324.3
1969	4	25308	1969.2877	326.66	324.28	326.69	324.31	326.66	324.28
1969	5	25338	1969.3699	327.34	324.47	327.32	324.44	327.34	324.47
1969	6	25369	1969.4548	326.76	324.56	326.78	324.58	326.76	324.56
1969	7	25399	1969.537	325.88	325.13	325.46	324.7	325.88	325.13
1969	8	25430	1969.6219	323.67	324.92	323.56	324.81	323.67	324.92
1969	9	25461	1969.7068	322.38	325.35	321.94	324.91	322.38	325.35
1969	10	25491	1969.789	321.78	324.89	321.89	325	321.78	324.89
1969	11	25522	1969.874	322.85	324.82	323.11	325.08	322.85	324.82
1969	12	25552	1969.9562	324.11	324.95	324.32	325.16	324.11	324.95
1970	1	25583	1970.0411	325.03	325.03	325.24	325.24	325.03	325.03
1970	2	25614	1970.126	325.99	325.35	325.97	325.32	325.99	325.35
1970	3	25642	1970.2027	326.87	325.52	326.74	325.39	326.87	325.52
1970	4	25673	1970.2877	328.13	325.74	327.87	325.47	328.13	325.74
1970	5	25703	1970.3699	328.07	325.19	328.43	325.55	328.07	325.19
1970	6	25734	1970.4548	327.66	325.45	327.84	325.63	327.66	325.45
1970	7	25764	1970.537	326.35	325.58	326.46	325.7	326.35	325.58
1970	8	25795	1970.6219	324.69	325.94	324.52	325.77	324.69	325.94
1970	9	25826	1970.7068	323.1	326.08	322.86	325.84	323.1	326.08
1970	10	25856	1970.789	323.16	326.28	322.77	325.89	323.16	326.28
1970	11	25887	1970.874	323.98	325.96	323.96	325.94	323.98	325.96
1970	12	25917	1970.9562	325.13	325.97	325.13	325.98	325.13	325.97
1971	1	25948	1971.0411	326.17	326.17	326.01	326.01	326.17	326.17
1971	2	25979	1971.126	326.68	326.03	326.69	326.05	326.68	326.03
1971	3	26007	1971.2027	327.18	325.83	327.43	326.08	327.18	325.83
1971	4	26038	1971.2877	327.78	325.38	328.53	326.13	327.78	325.38
1971	5	26068	1971.3699	328.92	326.03	329.08	326.19	328.92	326.03
1971	6	26099	1971.4548	328.57	326.35	328.48	326.26	328.57	326.35
1971	7	26129	1971.537	327.34	326.57	327.09	326.33	327.34	326.57
1971	8	26160	1971.6219	325.46	326.72	325.14	326.4	325.46	326.72
1971	9	26191	1971.7068	323.36	326.35	323.49	326.48	323.36	326.35
1971	10	26221	1971.789	323.56	326.69	323.42	326.55	323.56	326.69
1971	11	26252	1971.874	324.8	326.78	324.64	326.62	324.8	326.78
1971	12	26282	1971.9562	326.01	326.86	325.85	326.7	326.01	326.86
1972	1	26313	1972.041	326.77	326.77	326.78	326.78	326.77	326.77
1972	2	26344	1972.1257	327.63	326.99	327.52	326.87	327.63	326.99
1972	3	26373	1972.2049	327.75	326.37	328.34	326.96	327.75	326.37
1972	4	26404	1972.2896	329.72	327.29	329.51	327.08	329.72	327.29
1972	5	26434	1972.3716	330.07	327.17	330.11	327.2	330.07	327.17
1972	6	26465	1972.4563	329.09	326.88	329.56	327.35	329.09	326.88
1972	7	26495	1972.5383	328.05	327.31	328.25	327.51	328.05	327.31
1972	8	26526	1972.623	326.32	327.61	326.41	327.7	326.32	327.61
1972	9	26557	1972.7077	324.93	327.94	324.88	327.89	324.93	327.94
1972	10	26587	1972.7896	325.06	328.2	324.95	328.09	325.06	328.2
1972	11	26618	1972.8743	326.5	328.49	326.31	328.3	326.5	328.49
1972	12	26648	1972.9563	327.55	328.4	327.66	328.5	327.55	328.4
1973	1	26679	1973.0411	328.54	328.55	328.72	328.72	328.54	328.55
1973	2	26710	1973.126	329.56	328.91	329.58	328.93	329.56	328.91
1973	3	26738	1973.2027	330.3	328.94	330.48	329.12	330.3	328.94
1973	4	26769	1973.2877	331.5	329.08	331.74	329.32	331.5	329.08
1973	5	26799	1973.3699	332.48	329.56	332.41	329.5	332.48	329.56
1973	6	26830	1973.4548	332.07	329.84	331.9	329.66	332.07	329.84
1973	7	26860	1973.537	330.87	330.1	330.57	329.8	330.87	330.1
1973	8	26891	1973.6219	329.31	330.58	328.64	329.91	329.31	330.58
1973	9	26922	1973.7068	327.51	330.52	326.97	329.98	327.51	330.52
1973	10	26952	1973.789	327.18	330.34	326.88	330.03	327.18	330.34
1973	11	26983	1973.874	328.16	330.16	328.06	330.06	328.16	330.16
1973	12	27013	1973.9562	328.64	329.49	329.22	330.07	328.64	329.49
1974	1	27044	1974.0411	329.35	329.35	330.08	330.09	329.35	329.35
1974	2	27075	1974.126	330.71	330.06	330.76	330.11	330.71	330.06
1974	3	27103	1974.2027	331.48	330.12	331.5	330.13	331.48	330.12
1974	4	27134	1974.2877	332.65	330.22	332.59	330.17	332.65	330.22
1974	5	27164	1974.3699	333.09	330.16	333.13	330.2	333.09	330.16
1974	6	27195	1974.4548	332.25	330.01	332.49	330.25	332.25	330.01
1974	7	27225	1974.537	331.18	330.41	331.07	330.3	331.18	330.41
1974	8	27256	1974.6219	329.4	330.67	329.08	330.35	329.4	330.67
1974	9	27287	1974.7068	327.43	330.46	327.38	330.4	327.43	330.46
1974	10	27317	1974.789	327.37	330.54	327.29	330.46	327.37	330.54
1974	11	27348	1974.874	328.46	330.46	328.51	330.51	328.46	330.46
1974	12	27378	1974.9562	329.57	330.43	329.72	330.58	329.57	330.43
1975	1	27409	1975.0411	330.4	330.4	330.65	330.65	330.4	330.4
1975	2	27440	1975.126	331.41	330.75	331.39	330.73	331.41	330.75
1975	3	27468	1975.2027	332.04	330.67	332.18	330.81	332.04	330.67
1975	4	27499	1975.2877	333.31	330.87	333.34	330.91	333.31	330.87
1975	5	27529	1975.3699	333.97	331.03	333.94	331	333.97	331.03
1975	6	27560	1975.4548	333.6	331.35	333.36	331.1	333.6	331.35
1975	7	27590	1975.537	331.91	331.13	331.98	331.2	331.91	331.13
1975	8	27621	1975.6219	330.06	331.33	330.02	331.3	330.06	331.33
1975	9	27652	1975.7068	328.56	331.59	328.36	331.39	328.56	331.59
1975	10	27682	1975.789	328.34	331.52	328.31	331.48	328.34	331.52
1975	11	27713	1975.874	329.49	331.5	329.56	331.57	329.49	331.5
1975	12	27743	1975.9562	330.76	331.62	330.79	331.65	330.76	331.62
1976	1	27774	1976.041	331.74	331.75	331.73	331.73	331.74	331.75
1976	2	27805	1976.1257	332.56	331.91	332.46	331.81	332.56	331.91
1976	3	27834	1976.2049	333.5	332.1	333.28	331.88	333.5	332.1
1976	4	27865	1976.2896	334.58	332.11	334.42	331.95	334.58	332.11
1976	5	27895	1976.3716	334.87	331.93	334.97	332.03	334.87	331.93
1976	6	27926	1976.4563	334.34	332.1	334.34	332.1	334.34	332.1
1976	7	27956	1976.5383	333.05	332.3	332.93	332.18	333.05	332.3
1976	8	27987	1976.623	330.94	332.25	330.96	332.27	330.94	332.25
1976	9	28018	1976.7077	329.3	332.36	329.32	332.37	329.3	332.36
1976	10	28048	1976.7896	328.94	332.12	329.3	332.48	328.94	332.12
1976	11	28079	1976.8743	330.31	332.33	330.6	332.61	330.31	332.33
1976	12	28109	1976.9563	331.68	332.54	331.9	332.76	331.68	332.54
1977	1	28140	1977.0411	332.93	332.93	332.92	332.92	332.93	332.93
1977	2	28171	1977.126	333.42	332.76	333.76	333.1	333.42	332.76
1977	3	28199	1977.2027	334.7	333.32	334.64	333.26	334.7	333.32
1977	4	28230	1977.2877	336.07	333.62	335.91	333.45	336.07	333.62
1977	5	28260	1977.3699	336.75	333.79	336.6	333.64	336.75	333.79
1977	6	28291	1977.4548	336.27	334	336.09	333.82	336.27	334
1977	7	28321	1977.537	334.93	334.14	334.77	333.99	334.93	334.14
1977	8	28352	1977.6219	332.75	334.04	332.87	334.16	332.75	334.04
1977	9	28383	1977.7068	331.59	334.64	331.26	334.32	331.59	334.64
1977	10	28413	1977.789	331.16	334.36	331.27	334.46	331.16	334.36
1977	11	28444	1977.874	332.4	334.43	332.58	334.61	332.4	334.43
1977	12	28474	1977.9562	333.85	334.71	333.88	334.74	333.85	334.71
1978	1	28505	1978.0411	334.97	334.97	334.88	334.88	334.97	334.97
1978	2	28536	1978.126	335.39	334.72	335.68	335.02	335.39	334.72
1978	3	28564	1978.2027	336.64	335.26	336.52	335.13	336.64	335.26
1978	4	28595	1978.2877	337.76	335.29	337.72	335.26	337.76	335.29
1978	5	28625	1978.3699	338.01	335.04	338.35	335.38	338.01	335.04
1978	6	28656	1978.4548	337.89	335.61	337.77	335.49	337.89	335.61
1978	7	28686	1978.537	336.54	335.76	336.38	335.6	336.54	335.76
1978	8	28717	1978.6219	334.68	335.97	334.41	335.7	334.68	335.97
